index,id,label,split
0,0,0,TrainSet
1,1,0,TrainSet
2,2,2,TrainSet
3,3,0,TrainSet
4,4,2,TrainSet
5,5,0,TrainSet
6,6,2,TrainSet
7,7,2,TrainSet
8,8,3,TestSet
9,9,2,TrainSet
10,10,3,TrainSet
11,11,0,TrainSet
12,12,1,TrainSet
13,13,2,TrainSet
14,14,3,TrainSet
15,15,0,TrainSet
16,16,0,TrainSet
17,17,0,TrainSet
18,18,3,TrainSet
19,19,0,TrainSet
20,20,0,TrainSet
21,21,2,TrainSet
22,22,0,TrainSet
23,23,3,TestSet
24,24,2,TrainSet
25,25,0,TrainSet
26,26,0,TrainSet
27,27,2,TrainSet
28,28,3,TrainSet
29,29,0,TrainSet
30,30,0,TrainSet
31,31,0,TrainSet
32,32,0,TrainSet
33,33,0,TrainSet
34,34,0,TrainSet
35,35,0,TrainSet
36,36,0,TrainSet
37,37,3,TrainSet
38,38,0,TrainSet
39,39,0,TestSet
40,40,0,TrainSet
41,41,0,TrainSet
42,42,0,TrainSet
43,43,0,TrainSet
44,44,0,TrainSet
45,45,0,TrainSet
46,46,2,TrainSet
47,47,2,TrainSet
48,48,0,TrainSet
49,49,0,TrainSet
50,50,0,TrainSet
51,51,0,TrainSet
52,52,2,TrainSet
53,53,0,TestSet
54,54,0,TrainSet
55,55,0,TrainSet
56,56,0,TrainSet
57,57,0,TrainSet
58,58,0,TrainSet
59,59,0,TrainSet
60,60,0,TrainSet
61,61,0,TrainSet
62,62,0,TrainSet
63,63,0,TrainSet
64,64,0,TrainSet
65,65,0,TrainSet
66,66,0,TrainSet
67,67,0,TrainSet
68,68,0,TrainSet
69,69,0,TrainSet
70,70,0,TestSet
71,71,0,TrainSet
72,72,0,TrainSet
73,73,1,TrainSet
74,74,0,TrainSet
75,75,3,TestSet
76,76,0,TrainSet
77,77,0,TrainSet
78,78,0,TrainSet
79,79,0,TrainSet
80,80,0,TrainSet
81,81,3,TrainSet
82,82,0,TrainSet
83,83,3,TrainSet
84,84,2,TrainSet
85,85,0,TrainSet
86,86,0,TrainSet
87,87,0,TestSet
88,88,3,TestSet
89,89,2,TrainSet
90,90,1,TrainSet
91,91,3,TrainSet
92,92,0,TrainSet
93,93,0,TrainSet
94,94,3,TrainSet
95,95,2,TestSet
96,96,0,TrainSet
97,97,0,TestSet
98,98,0,TrainSet
99,99,0,TrainSet
100,100,3,TrainSet
101,101,0,TestSet
102,102,0,TestSet
103,103,0,TestSet
104,104,1,TrainSet
105,105,0,TrainSet
106,106,0,TestSet
107,107,0,TrainSet
108,108,0,TrainSet
109,109,0,TrainSet
110,110,3,TrainSet
111,111,0,TrainSet
112,112,0,TrainSet
113,113,3,TrainSet
114,114,0,TestSet
115,115,0,TestSet
116,116,0,TrainSet
117,117,3,TrainSet
118,118,3,TrainSet
119,119,0,TrainSet
120,120,0,TrainSet
121,121,0,TrainSet
122,122,0,TrainSet
123,123,0,TrainSet
124,124,0,TestSet
125,125,0,TrainSet
126,126,0,TrainSet
127,127,0,TestSet
128,128,2,TestSet
129,129,0,TrainSet
130,130,0,TrainSet
131,131,3,TrainSet
132,132,3,TrainSet
133,133,3,TrainSet
134,134,3,TestSet
135,135,0,TestSet
136,136,3,TrainSet
137,137,0,TrainSet
138,138,3,TrainSet
139,139,0,TrainSet
140,140,2,TrainSet
141,141,2,TrainSet
142,142,2,TestSet
143,143,1,TrainSet
144,144,0,TrainSet
145,145,1,TrainSet
146,146,2,TrainSet
147,147,2,TestSet
148,148,0,TrainSet
149,149,2,TestSet
150,150,3,TrainSet
151,151,0,TestSet
152,152,0,TrainSet
153,153,0,TrainSet
154,154,0,TrainSet
155,155,0,TrainSet
156,156,0,TrainSet
157,157,0,TrainSet
158,158,1,TestSet
159,159,0,TrainSet
160,160,0,TrainSet
161,161,0,TestSet
162,162,0,TrainSet
163,163,0,TrainSet
164,164,3,TrainSet
165,165,0,TrainSet
166,166,1,TrainSet
167,167,0,TrainSet
168,168,3,TrainSet
169,169,2,TrainSet
170,170,0,TrainSet
171,171,0,TrainSet
172,172,0,TestSet
173,173,0,TrainSet
174,174,0,TrainSet
175,175,0,TrainSet
176,176,1,TrainSet
177,177,0,TrainSet
178,178,0,TrainSet
179,179,0,TestSet
180,180,2,TrainSet
181,181,0,TrainSet
182,182,3,TestSet
183,183,0,TrainSet
184,184,3,TrainSet
185,185,0,TrainSet
186,186,0,TestSet
187,187,0,TrainSet
188,188,0,TrainSet
189,189,3,TrainSet
190,190,0,TrainSet
191,191,0,TrainSet
192,192,0,TrainSet
193,193,0,TrainSet
194,194,0,TestSet
195,195,3,TestSet
196,196,0,TrainSet
197,197,0,TrainSet
198,198,2,TrainSet
199,199,2,TrainSet
200,200,3,TrainSet
201,201,0,TrainSet
202,202,0,TrainSet
203,203,3,TrainSet
204,204,2,TrainSet
205,205,0,TrainSet
206,206,0,TrainSet
207,207,0,TrainSet
208,208,0,TrainSet
209,209,3,TrainSet
210,210,3,TrainSet
211,211,0,TrainSet
212,212,0,TrainSet
213,213,0,TrainSet
214,214,0,TrainSet
215,215,2,TrainSet
216,216,0,TrainSet
217,217,0,TrainSet
218,218,0,TrainSet
219,219,0,TestSet
220,220,0,TrainSet
221,221,3,TestSet
222,222,0,TestSet
223,223,2,TrainSet
224,224,0,TrainSet
225,225,0,TrainSet
226,226,0,TestSet
227,227,0,TrainSet
228,228,0,TrainSet
229,229,3,TrainSet
230,230,0,TrainSet
231,231,0,TrainSet
232,232,0,TrainSet
233,233,1,TrainSet
234,234,2,TrainSet
235,235,3,TrainSet
236,236,0,TrainSet
237,237,0,TrainSet
238,238,0,TrainSet
239,239,0,TestSet
240,240,3,TrainSet
241,241,0,TrainSet
242,242,0,TrainSet
243,243,0,TrainSet
244,244,0,TrainSet
245,245,0,TrainSet
246,246,0,TrainSet
247,247,1,TrainSet
248,248,0,TrainSet
249,249,0,TrainSet
250,250,2,TestSet
251,251,0,TrainSet
252,252,0,TrainSet
253,253,0,TestSet
254,254,3,TrainSet
255,255,0,TrainSet
256,256,0,TestSet
257,257,0,TrainSet
258,258,0,TrainSet
259,259,2,TrainSet
260,260,0,TrainSet
261,261,0,TrainSet
262,262,3,TrainSet
263,263,0,TrainSet
264,264,3,TrainSet
265,265,0,TestSet
266,266,0,TestSet
267,267,0,TestSet
268,268,0,TrainSet
269,269,2,TrainSet
270,270,0,TestSet
271,271,0,TrainSet
272,272,0,TrainSet
273,273,2,TrainSet
274,274,3,TestSet
275,275,0,TrainSet
276,276,3,TrainSet
277,277,3,TestSet
278,278,0,TestSet
279,279,0,TrainSet
280,280,0,TrainSet
281,281,1,TrainSet
282,282,3,TrainSet
283,283,0,TrainSet
284,284,0,TrainSet
285,285,0,TrainSet
286,286,0,TrainSet
287,287,0,TrainSet
288,288,0,TrainSet
289,289,0,TrainSet
290,290,0,TrainSet
291,291,0,TrainSet
292,292,0,TrainSet
293,293,2,TrainSet
294,294,2,TrainSet
295,295,0,TestSet
296,296,0,TrainSet
297,297,0,TrainSet
298,298,0,TrainSet
299,299,2,TrainSet
300,300,0,TestSet
301,301,3,TrainSet
302,302,0,TrainSet
303,303,0,TrainSet
304,304,0,TrainSet
305,305,3,TrainSet
306,306,0,TrainSet
307,307,0,TrainSet
308,308,0,TrainSet
309,309,0,TrainSet
310,310,3,TrainSet
311,311,2,TrainSet
312,312,2,TestSet
313,313,3,TestSet
314,314,0,TrainSet
315,315,3,TrainSet
316,316,0,TrainSet
317,317,3,TrainSet
318,318,0,TrainSet
319,319,3,TrainSet
320,320,3,TrainSet
321,321,0,TrainSet
322,322,0,TrainSet
323,323,0,TestSet
324,324,0,TrainSet
325,325,0,TrainSet
326,326,3,TrainSet
327,327,3,TrainSet
328,328,0,TestSet
329,329,0,TrainSet
330,330,0,TrainSet
331,331,1,TrainSet
332,332,0,TrainSet
333,333,0,TrainSet
334,334,0,TrainSet
335,335,2,TrainSet
336,336,0,TrainSet
337,337,0,TrainSet
338,338,0,TrainSet
339,339,0,TrainSet
340,340,3,TrainSet
341,341,0,TrainSet
342,342,0,TestSet
343,343,2,TrainSet
344,344,0,TrainSet
345,345,3,TrainSet
346,346,0,TrainSet
347,347,0,TestSet
348,348,0,TrainSet
349,349,0,TrainSet
350,350,0,TrainSet
351,351,0,TestSet
352,352,0,TrainSet
353,353,0,TrainSet
354,354,0,TrainSet
355,355,0,TrainSet
356,356,2,TrainSet
357,357,0,TrainSet
358,358,2,TrainSet
359,359,3,TrainSet
360,360,2,TrainSet
361,361,3,TrainSet
362,362,3,TestSet
363,363,0,TrainSet
364,364,0,TrainSet
365,365,3,TestSet
366,366,0,TrainSet
367,367,0,TrainSet
368,368,0,TrainSet
369,369,0,TestSet
370,370,3,TrainSet
371,371,0,TrainSet
372,372,3,TrainSet
373,373,0,TestSet
374,374,3,TrainSet
375,375,0,TrainSet
376,376,0,TrainSet
377,377,2,TrainSet
378,378,3,TestSet
379,379,0,TestSet
380,380,2,TestSet
381,381,3,TrainSet
382,382,3,TrainSet
383,383,0,TestSet
384,384,0,TrainSet
385,385,0,TrainSet
386,386,3,TrainSet
387,387,3,TrainSet
388,388,0,TrainSet
